model,method,layer,layer_idx,metric_type,metric,Di,Do
t5-base,actmat,transformer.decoder.block.1.layer.2.DenseReluDense.wi.weight,90,cosine_similarity,0.4564479887485504,768,3072
t5-base,identity,transformer.decoder.block.1.layer.2.DenseReluDense.wi.weight,90,cosine_similarity,0.06939210742712021,768,3072
t5-base,actmat,transformer.decoder.block.1.layer.2.DenseReluDense.wo.weight,91,cosine_similarity,0.032636333256959915,3072,768
t5-base,identity,transformer.decoder.block.1.layer.2.DenseReluDense.wo.weight,91,cosine_similarity,0.026200810447335243,3072,768
t5-base,actmat,transformer.decoder.block.2.layer.0.SelfAttention.q.weight,92,cosine_similarity,0.5341740846633911,768,768
t5-base,identity,transformer.decoder.block.2.layer.0.SelfAttention.q.weight,92,cosine_similarity,0.07913772761821747,768,768
t5-base,actmat,transformer.decoder.block.2.layer.0.SelfAttention.k.weight,93,cosine_similarity,0.505535364151001,768,768
t5-base,identity,transformer.decoder.block.2.layer.0.SelfAttention.k.weight,93,cosine_similarity,0.07913772761821747,768,768
t5-base,actmat,transformer.decoder.block.2.layer.0.SelfAttention.v.weight,94,cosine_similarity,0.16842946410179138,768,768
t5-base,identity,transformer.decoder.block.2.layer.0.SelfAttention.v.weight,94,cosine_similarity,0.07913772761821747,768,768
t5-base,actmat,transformer.decoder.block.2.layer.0.SelfAttention.o.weight,95,cosine_similarity,0.30145329236984253,768,768
t5-base,identity,transformer.decoder.block.2.layer.0.SelfAttention.o.weight,95,cosine_similarity,0.07351931929588318,768,768
t5-base,actmat,transformer.decoder.block.2.layer.1.EncDecAttention.q.weight,96,cosine_similarity,0.34021297097206116,768,768
t5-base,identity,transformer.decoder.block.2.layer.1.EncDecAttention.q.weight,96,cosine_similarity,0.07731547206640244,768,768
t5-base,actmat,transformer.decoder.block.2.layer.1.EncDecAttention.k.weight,97,cosine_similarity,0.27739542722702026,768,768
t5-base,identity,transformer.decoder.block.2.layer.1.EncDecAttention.k.weight,97,cosine_similarity,0.16613732278347015,768,768
t5-base,actmat,transformer.decoder.block.2.layer.1.EncDecAttention.v.weight,98,cosine_similarity,0.29104024171829224,768,768
t5-base,identity,transformer.decoder.block.2.layer.1.EncDecAttention.v.weight,98,cosine_similarity,0.16613732278347015,768,768
t5-base,actmat,transformer.decoder.block.2.layer.1.EncDecAttention.o.weight,99,cosine_similarity,0.2711239755153656,768,768
t5-base,identity,transformer.decoder.block.2.layer.1.EncDecAttention.o.weight,99,cosine_similarity,0.07013460993766785,768,768
t5-base,actmat,transformer.decoder.block.2.layer.2.DenseReluDense.wi.weight,100,cosine_similarity,0.4487849175930023,768,3072
t5-base,identity,transformer.decoder.block.2.layer.2.DenseReluDense.wi.weight,100,cosine_similarity,0.06402437388896942,768,3072
t5-base,actmat,transformer.decoder.block.2.layer.2.DenseReluDense.wo.weight,101,cosine_similarity,0.022910598665475845,3072,768
t5-base,identity,transformer.decoder.block.2.layer.2.DenseReluDense.wo.weight,101,cosine_similarity,0.026167193427681923,3072,768
t5-base,actmat,transformer.decoder.block.3.layer.0.SelfAttention.q.weight,102,cosine_similarity,0.5211846828460693,768,768
t5-base,identity,transformer.decoder.block.3.layer.0.SelfAttention.q.weight,102,cosine_similarity,0.07065718621015549,768,768
t5-base,actmat,transformer.decoder.block.3.layer.0.SelfAttention.k.weight,103,cosine_similarity,0.4987499713897705,768,768
t5-base,identity,transformer.decoder.block.3.layer.0.SelfAttention.k.weight,103,cosine_similarity,0.07065718621015549,768,768
t5-base,actmat,transformer.decoder.block.3.layer.0.SelfAttention.v.weight,104,cosine_similarity,0.1627688705921173,768,768
t5-base,identity,transformer.decoder.block.3.layer.0.SelfAttention.v.weight,104,cosine_similarity,0.07065718621015549,768,768
t5-base,actmat,transformer.decoder.block.3.layer.0.SelfAttention.o.weight,105,cosine_similarity,0.2810734808444977,768,768
t5-base,identity,transformer.decoder.block.3.layer.0.SelfAttention.o.weight,105,cosine_similarity,0.06453706324100494,768,768
t5-base,actmat,transformer.decoder.block.3.layer.1.EncDecAttention.q.weight,106,cosine_similarity,0.31523799896240234,768,768
t5-base,identity,transformer.decoder.block.3.layer.1.EncDecAttention.q.weight,106,cosine_similarity,0.0712573379278183,768,768
t5-base,actmat,transformer.decoder.block.3.layer.1.EncDecAttention.k.weight,107,cosine_similarity,0.32363349199295044,768,768
t5-base,identity,transformer.decoder.block.3.layer.1.EncDecAttention.k.weight,107,cosine_similarity,0.16613732278347015,768,768
t5-base,actmat,transformer.decoder.block.3.layer.1.EncDecAttention.v.weight,108,cosine_similarity,0.311413437128067,768,768
t5-base,identity,transformer.decoder.block.3.layer.1.EncDecAttention.v.weight,108,cosine_similarity,0.16613732278347015,768,768
t5-base,actmat,transformer.decoder.block.3.layer.1.EncDecAttention.o.weight,109,cosine_similarity,0.2288704365491867,768,768
t5-base,identity,transformer.decoder.block.3.layer.1.EncDecAttention.o.weight,109,cosine_similarity,0.07574265450239182,768,768
