subset_id,method,task,size,retained,zs,relres
m12_24,mean,FER2013,12,0.7309021113243761,0.492059069378657,0.774689529251702
m12_24,mean,FashionMNIST,12,0.7682952400922626,0.6302,0.7536382876836366
m12_24,mean,Flowers102,12,0.7503615328994939,0.6631972678484307,0.7397350578753066
m12_24,mean,GTSRB,12,0.4615937974582368,0.32557403008709423,0.7498069061929414
m12_24,mean,KMNIST,12,0.11209259823332318,0.0977,0.7747730459934071
m12_24,mean,MNIST,12,0.7204775760008025,0.4825,0.7715586526543398
m12_24,mean,RESISC45,12,0.7051027170311465,0.6022222222222222,0.7370411163114724
m12_24,mean,SUN397,12,0.859717290815301,0.6318891687657431,0.7222310830320232
m8_15,mean,Cars,8,0.8034618410700236,0.5964432284541724,0.7125851361317572
m8_15,mean,DTD,8,0.6571815718157181,0.4441489361702128,0.6660424485292292
m8_15,mean,EuroSAT,8,0.6875468867216804,0.45444444444444443,0.7068774866725651
m8_15,mean,FashionMNIST,8,0.785279932899979,0.6302,0.7240258738639256
m8_15,mean,Food101,8,0.9383949681045635,0.8272079207920792,0.6931278126279355
m8_15,mean,GTSRB,8,0.5134681480297338,0.32557403008709423,0.7075795205429967
m8_15,mean,OxfordIIITPet,8,0.971743010113028,0.8743526846552194,0.6856946237729955
m8_15,mean,SUN397,8,0.8735177865612649,0.6318891687657431,0.666443152470455
m12_31,mean,CIFAR10,12,0.946949602122016,0.8983,0.6853605148237716
m12_31,mean,EuroSAT,12,0.6072768192048011,0.45444444444444443,0.7524318229197952
m12_31,mean,FER2013,12,0.7339731285988483,0.492059069378657,0.7849069070668271
m12_31,mean,FashionMNIST,12,0.7585447682952401,0.6302,0.7476205563520808
m12_31,mean,Food101,12,0.8956595440959986,0.8272079207920792,0.7721578025490384
m12_31,mean,GTSRB,12,0.4739029653904564,0.32557403008709423,0.7517792299401286
m12_31,mean,KMNIST,12,0.10620367550005076,0.0977,0.7732606080278155
m12_31,mean,MNIST,12,0.7696398113775459,0.4825,0.7384619529149345
m12_31,mean,PCAM,12,0.7561102444097764,0.606201171875,0.8271923414958103
m12_31,mean,RESISC45,12,0.7027833001988072,0.6022222222222222,0.7578272606997427
m12_31,mean,STL10,12,0.9862174578866768,0.97125,0.7092976637551213
m12_31,mean,SVHN,12,0.5622288824039751,0.3160725261216964,0.7519868737113792
m8_13,mean,DTD,8,0.6639566395663957,0.4441489361702128,0.6654320610280734
m8_13,mean,EuroSAT,8,0.7479369842460615,0.45444444444444443,0.6970535625800864
m8_13,mean,Flowers102,8,0.7839840925524223,0.6631972678484307,0.6773702844702687
m8_13,mean,Food101,8,0.9334879778739349,0.8272079207920792,0.7008865723625053
m8_13,mean,PCAM,8,0.7319812792511701,0.606201171875,0.7641447497843563
m8_13,mean,RESISC45,8,0.7543074884029158,0.6022222222222222,0.6706191887246866
m8_13,mean,STL10,8,0.9960438999489535,0.97125,0.6465277166584763
m8_13,mean,SUN397,8,0.8762644871708982,0.6318891687657431,0.6563271749441653
m8_14,mean,Cars,8,0.7697875688434304,0.5964432284541724,0.7252923495516658
m8_14,mean,FER2013,8,0.7627639155470248,0.492059069378657,0.7230980345824619
m8_14,mean,Food101,8,0.9332203238613551,0.8272079207920792,0.7040459657932877
m8_14,mean,MNIST,8,0.8756897762616634,0.4825,0.6783059352196629
m8_14,mean,PCAM,8,0.7419656786271451,0.606201171875,0.7774804609643649
m8_14,mean,STL10,8,0.996681980602348,0.97125,0.6802821078417746
m8_14,mean,SUN397,8,0.8749916259127755,0.6318891687657431,0.6845523835268738
m8_14,mean,SVHN,8,0.5997318400504772,0.3160725261216964,0.6934977746244025
m12_34,mean,CIFAR10,12,0.9519485819220568,0.8983,0.6923534124615263
m12_34,mean,CIFAR100,12,0.7978197347718587,0.642,0.6643903268311987
m12_34,mean,Cars,12,0.7494885916601102,0.5964432284541724,0.7871116654753062
m12_34,mean,DTD,12,0.6009485094850949,0.4441489361702128,0.7260496243077731
m12_34,mean,EMNIST,12,0.38223135319319523,0.171975,0.7646574183257094
m12_34,mean,EuroSAT,12,0.6361590397599399,0.45444444444444443,0.7636334732237959
m12_34,mean,Flowers102,12,0.7503615328994939,0.6631972678484307,0.7206318305522753
m12_34,mean,KMNIST,12,0.11128033302873389,0.0977,0.7689106045767033
m12_34,mean,MNIST,12,0.7237885020567875,0.4825,0.7515874463881288
m12_34,mean,OxfordIIITPet,12,0.9571683521713267,0.8743526846552194,0.7394201504204212
m12_34,mean,RESISC45,12,0.7055997349237906,0.6022222222222222,0.7451572982619792
m12_34,mean,STL10,12,0.9910668708524757,0.97125,0.6770188298487334
m12_30,mean,CIFAR10,12,0.952050601917976,0.8983,0.7076354233881234
m12_30,mean,CIFAR100,12,0.784895482130816,0.642,0.6739005965797018
m12_30,mean,DTD,12,0.5928184281842819,0.4441489361702128,0.7344756889067777
m12_30,mean,EMNIST,12,0.4148773582542029,0.171975,0.7458487359414788
m12_30,mean,FER2013,12,0.7216890595009597,0.492059069378657,0.7745707853590095
m12_30,mean,Food101,12,0.9085515457019226,0.8272079207920792,0.7706971892245297
m12_30,mean,GTSRB,12,0.46575013987690833,0.32557403008709423,0.7367695962691166
m12_30,mean,KMNIST,12,0.11026500152299726,0.0977,0.7596931904539417
m12_30,mean,MNIST,12,0.7967292063810575,0.4825,0.7029632679011002
m12_30,mean,RenderedSST2,12,0.8149779735682819,0.585941790225151,0.8250309328628658
m12_30,mean,SUN397,12,0.8552957727607691,0.6318891687657431,0.7402216545348952
m12_30,mean,SVHN,12,0.5902279359570944,0.3160725261216964,0.7415575750525722
m12_27,mean,CIFAR10,12,0.9560293817588248,0.8983,0.6689726215807518
m12_27,mean,CIFAR100,12,0.8180489997752304,0.642,0.6526340741366458
m12_27,mean,Cars,12,0.7483870967741936,0.5964432284541724,0.7878826431117767
m12_27,mean,EMNIST,12,0.359857690476787,0.171975,0.7896798948004924
m12_27,mean,EuroSAT,12,0.6024006001500375,0.45444444444444443,0.7581361981991298
m12_27,mean,FER2013,12,0.7358925143953935,0.492059069378657,0.7747000340256154
m12_27,mean,FashionMNIST,12,0.7709163346613546,0.6302,0.7553024410240826
m12_27,mean,Flowers102,12,0.7545191612436732,0.6631972678484307,0.7392777273794661
